PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent
2022/09/01,12:30,USD,Initial Jobless Claims,232000.0,248000.0,237000.0,USD-Initial Jobless Claims
2022/09/01,13:45,USD,S&P Global US Manufacturing PMI ,51.5,51.3,51.3,USD-S&P Global US Manufacturing PMI 
2022/09/01,14:00,USD,ISM Manufacturing PMI ,52.8,52.0,52.8,USD-ISM Manufacturing PMI 
2022/09/01,14:00,USD,ISM Manufacturing Prices ,52.5,55.5,60.0,USD-ISM Manufacturing Prices 
2022/09/02,12:30,USD,Average Hourly Earnings (MoM) ,0.003,0.004,0.005,USD-Average Hourly Earnings (MoM) 
2022/09/02,12:30,USD,Nonfarm Payrolls ,315000.0,300000.0,526000.0,USD-Nonfarm Payrolls 
2022/09/02,12:30,USD,Unemployment Rate ,0.037,0.035,0.035,USD-Unemployment Rate 
2022/09/06,13:45,USD,S&P Global Services PMI ,43.7,44.3,47.3,USD-S&P Global Services PMI 
2022/09/06,14:00,USD,ISM Non-Manufacturing PMI ,56.9,55.1,56.7,USD-ISM Non-Manufacturing PMI 
2022/09/06,14:00,USD,ISM Non-Manufacturing Prices ,71.5,,72.3,USD-ISM Non-Manufacturing Prices 
2022/09/08,12:15,EUR,Deposit Facility Rate ,0.007,0.005,0.0,EUR-Deposit Facility Rate 
2022/09/08,12:15,EUR,ECB Interest Rate Decision ,0.013,0.013,0.005,EUR-ECB Interest Rate Decision 
2022/09/08,12:30,USD,Initial Jobless Claims,222000.0,240000.0,228000.0,USD-Initial Jobless Claims
2022/09/08,12:45,EUR,ECB Press Conference  ,,,,EUR-ECB Press Conference  
2022/09/08,13:10,USD,Fed Chair Powell Speaks  ,,,,USD-Fed Chair Powell Speaks  
2022/09/08,15:00,USD,Crude Oil Inventories,8844000.0,-250000.0,-3326000.0,USD-Crude Oil Inventories
2022/09/12,17:00,USD,10-Year Note Auction,0.033,,0.028,USD-10-Year Note Auction
2022/09/13,6:00,EUR,German CPI (MoM) ,0.003,0.003,0.009,EUR-German CPI (MoM) 
2022/09/13,12:30,USD,Core CPI (MoM) ,0.006,0.003,0.003,USD-Core CPI (MoM) 
2022/09/13,12:30,USD,CPI (YoY) ,0.083,0.081,0.085,USD-CPI (YoY) 
2022/09/13,12:30,USD,CPI (MoM) ,0.001,-0.001,0.0,USD-CPI (MoM) 
2022/09/13,17:01,USD,30-Year Bond Auction,0.035,,0.031,USD-30-Year Bond Auction
2022/09/14,12:30,USD,PPI (MoM) ,-0.001,-0.001,-0.004,USD-PPI (MoM) 
2022/09/14,14:30,USD,Crude Oil Inventories,2442000.0,833000.0,8844000.0,USD-Crude Oil Inventories
2022/09/15,12:30,USD,Core Retail Sales (MoM) ,-0.003,0.001,0.004,USD-Core Retail Sales (MoM) 
2022/09/15,12:30,USD,Initial Jobless Claims,213000.0,226000.0,218000.0,USD-Initial Jobless Claims
2022/09/15,12:30,USD,Philadelphia Fed Manufacturing Index ,-9.9,2.8,6.2,USD-Philadelphia Fed Manufacturing Index 
2022/09/15,12:30,USD,Retail Sales (MoM) ,0.003,0.002,-0.004,USD-Retail Sales (MoM) 
2022/09/16,9:00,EUR,CPI (YoY) ,0.091,0.091,0.091,EUR-CPI (YoY) 
2022/09/21,14:00,USD,Existing Home Sales ,4800000.0,4700000.0,4820000.0,USD-Existing Home Sales 
2022/09/21,14:30,USD,Crude Oil Inventories,1142000.0,2161000.0,2442000.0,USD-Crude Oil Inventories
2022/09/21,18:00,USD,FOMC Economic Projections  ,,,,USD-FOMC Economic Projections  
2022/09/21,18:00,USD,FOMC Statement  ,,,,USD-FOMC Statement  
2022/09/21,18:00,USD,Fed Interest Rate Decision,0.033,0.033,0.025,USD-Fed Interest Rate Decision
2022/09/21,18:30,USD,FOMC Press Conference  ,,,,USD-FOMC Press Conference  
2022/09/22,12:30,USD,Initial Jobless Claims,213000.0,218000.0,208000.0,USD-Initial Jobless Claims
2022/09/23,13:45,USD,S&P Global US Manufacturing PMI   ,51.8,51.1,51.5,USD-S&P Global US Manufacturing PMI   
2022/09/23,13:45,USD,S&P Global Services PMI   ,49.2,45.0,43.7,USD-S&P Global Services PMI   
2022/09/23,18:00,USD,Fed Chair Powell Speaks  ,,,,USD-Fed Chair Powell Speaks  
2022/09/27,12:30,USD,Durable Goods Orders (MoM) ,-0.002,-0.004,-0.001,USD-Durable Goods Orders (MoM) 
2022/09/27,14:00,USD,CB Consumer Confidence ,108.0,104.5,103.6,USD-CB Consumer Confidence 
2022/09/27,14:00,USD,New Home Sales ,685000.0,500000.0,532000.0,USD-New Home Sales 
2022/09/28,14:15,USD,Fed Chair Powell Speaks  ,,,,USD-Fed Chair Powell Speaks  
2022/09/28,14:30,USD,Crude Oil Inventories,-215000.0,443000.0,1142000.0,USD-Crude Oil Inventories
2022/09/29,12:00,EUR,German CPI (MoM)   ,0.019,0.013,0.003,EUR-German CPI (MoM)   
2022/09/29,12:30,USD,GDP (QoQ) ,-0.006,-0.006,-0.016,USD-GDP (QoQ) 
