Topic,Date,nNews,nPos,nNeg,meansen,pmn,action
forex,2024-07-18,1,0,1,-0.5859,-1,0
forex,2024-08-01,1,0,0,0.0,0,1
forex,2024-08-02,1,0,1,-0.5719,-1,-1
forex,2024-08-12,2,1,0,0.10115,1,1
forex,2024-08-21,1,1,0,0.6369,1,0
forex,2024-08-29,1,1,0,0.6369,1,0
forex,2024-08-31,1,0,0,0.0,0,-1
forex,2024-09-11,1,0,0,0.0,0,0
forex,2024-09-13,1,1,0,0.6369,1,1
forex,2024-09-16,1,0,0,0.0,0,-1
forex,2024-09-19,2,1,0,0.31845,1,1
forex,2024-09-20,5,2,2,-0.030159999999999985,0,-1
forex,2024-09-21,3,0,1,-0.1998,-1,-1
forex,2024-09-22,4,0,1,-0.142975,-1,0
forex,2024-09-23,10,1,3,-0.07838,-2,-1
forex,2024-09-24,13,1,3,-0.06373076923076923,-2,0
forex,2024-09-25,42,4,12,-0.07844047619047619,-8,-1
