Topic,Date,Time,Source,Title,sentiment
EUR/USD,2024-09-13,07:00,FXStreet,"EUR/USD Forecast: Euro turns bullish, closes in on key resistance - FXStreet",0.0
EUR/USD,2024-09-15,07:00,FOREX.com,EUR USD forecast Attention turns to the Fed rate decision - FOREX.com,0.0
EUR/USD,2024-09-16,07:00,FOREX.com,US election: Impact on EUR/USD forecast and trading strategies - FOREX.com,0.0
EUR/USD,2024-09-18,14:12,Yahoo Finance,Will EUR/USD Surge with the Fed’s Upcoming Decision? - Yahoo Finance,0.0
EUR/USD,2024-09-18,16:53,MarketPulse,EUR/USD steady ahead of key Fed meeting - MarketPulse,0.0
EUR/USD,2024-09-18,23:19,FXStreet,EUR/USD flattens post-Fed rate cut - FXStreet,-0.2732
EUR/USD,2024-09-19,12:15,FXStreet,EUR/USD: EUR rebounds from post-Fed low – Scotiabank - FXStreet,-0.2732
EUR/USD,2024-09-19,18:44,FXStreet,EUR/USD Price Forecast: Extra advances look likely near term - FXStreet,0.0
EUR/USD,2024-09-19,23:32,FXStreet,EUR/USD grapples with higher ground as Fed cuts weigh on Greenback - FXStreet,-0.296
EUR/USD,2024-09-20,05:12,FXStreet,EUR/USD Price Forecast: The constructive outlook prevails above 1.1150 - FXStreet,0.0
EUR/USD,2024-09-20,06:39,FXStreet,EUR/USD Forecast: Euro looks to renew 2024-high - FXStreet,0.0
EUR/USD,2024-09-20,09:23,FXStreet,EUR/USD: The next target for bulls at 1.1200 – UOB Group - FXStreet,0.0
EUR/USD,2024-09-20,12:37,FXStreet,EUR/USD: Encounters better selling pressure in upper 1.11s – Scotiabank - FXStreet,0.1779
EUR/USD,2024-09-20,14:38,FXStreet,"EUR/USD drops slightly as US Dollar rebounds, ECB Lagarde speech in focus - FXStreet",0.0
EUR/USD,2024-09-20,14:57,FX Empire,EUR/USD Weekly Price Forecast – Euro Continues to Look at The Ceiling - FX Empire,0.0
EUR/USD,2024-09-20,15:21,FXStreet,EUR/USD Weekly Forecast: Focus shifts to US PCE inflation in Fed’s aftermath - FXStreet,0.0
EUR/USD,2024-09-20,17:12,FX Empire,"U.S. Dollar Attempts To Rebound: Analysis For EUR/USD, GBP/USD, USD/CAD, USD/JPY - FX Empire",0.0
EUR/USD,2024-09-22,17:00,Forex Factory,EUR/USD Weekly Forecast: Higher Momentum and Volatility Flourish More Coming - Forex Factory,0.0
EUR/USD,2024-09-23,01:19,FXStreet,EUR/USD holds ground near 1.1150 ahead of Eurozone PMI data - FXStreet,0.0
EUR/USD,2024-09-23,03:12,Action Forex,EUR/USD Momentum Builds: Can It Go Higher? - Action Forex,0.0
EUR/USD,2024-09-23,04:34,Action Forex,EUR/USD Daily Outlook - Action Forex,0.0
EUR/USD,2024-09-23,07:44,FX Empire,"Japanese Yen Gains Ground At The Start Of The Week: Analysis For USD/JPY, EUR/USD, AUD/USD, NZD/USD - FX Empire",0.34
EUR/USD,2024-09-23,08:34,FX Empire,"EUR/USD Drops as Eurozone PMI Hits 48.9, Signaling Escalating Recession Fears - FX Empire",-0.6808
EUR/USD,2024-09-23,08:49,FX Empire,US Dollar Price Forecast: Euro and UK PMIs Disappoint; GBP/USD and EUR/USD Outlook - FX Empire,-0.4019
EUR/USD,2024-09-23,08:55,Seeking Alpha,European markets in green as traders assess latest economic data (EUR:USD) - Seeking Alpha,0.0
EUR/USD,2024-09-23,09:37,FXStreet,EUR/USD: Set to move towards 1.1200 – UOB Group - FXStreet,0.0
EUR/USD,2024-09-23,09:55,Action Forex,EUR/USD Outlook: Weak Data Deflate Euro But Larger Bulls Remain in Play - Action Forex,0.2846
EUR/USD,2024-09-23,11:50,FXStreet,USD firmer as EUR dips on weak data – Scotiabank - FXStreet,-0.4404
EUR/USD,2024-09-23,12:15,FXStreet,EUR/USD: Some corrective weakness in the EUR in the short run – Scotiabank - FXStreet,-0.4215
EUR/USD,2024-09-23,12:56,FXStreet,EUR/USD: Bulls losing interest amid fresh EU recession fears - FXStreet,-0.4404
EUR/USD,2024-09-23,13:02,FXStreet,EUR/USD weakens as Eurozone PMI sinks into contraction - FXStreet,-0.3182
EUR/USD,2024-09-23,13:37,Action Forex,EUR/USD Mid-Day Outlook - Action Forex,0.0
EUR/USD,2024-09-23,13:42,TradingView,COMMENT-Doubts may be growing in the minds of EUR/USD bulls - TradingView,0.1779
EUR/USD,2024-09-23,13:47,FXStreet,EUR/USD to revisit 1.1000 [Video] - FXStreet,0.0
EUR/USD,2024-09-23,15:30,FX Empire,EUR/USD Forecast – Euro Continues to Bounce Back And Forth - FX Empire,0.0
EUR/USD,2024-09-23,16:00,FXStreet,EUR/USD may fall to 1.10 in the coming weeks – Rabobank - FXStreet,0.0
EUR/USD,2024-09-23,16:04,FX Empire,US Dollar Forecast: EUR/USD Falls as Weak Eurozone Data Fuels ECB Rate Cut Bets - FX Empire,-0.6124
EUR/USD,2024-09-23,16:41,FX Empire,"U.S. Dollar Gained Some Ground: Analysis For EUR/USD, GBP/USD, USD/CAD, USD/JPY - FX Empire",0.3818
EUR/USD,2024-09-23,16:50,Forex Factory,Euro Technical Analysis: EUR/USD Stalls Inside of Yearly High - Forex Factory,0.0
EUR/USD,2024-09-23,19:09,FXStreet,EUR/USD: Lower low for the weeks at sight - FXStreet,-0.5106
