PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent,PrevDate,NextDate,PrevH,NextH,PrevD[BTC-USD][O],PrevD[BTC-USD][H],PrevD[BTC-USD][L],PrevD[BTC-USD][C],NextD[BTC-USD][O],NextD[BTC-USD][H],NextD[BTC-USD][L],NextD[BTC-USD][C],CurrD[BTC-USD][O],CurrD[BTC-USD][H],CurrD[BTC-USD][L],CurrD[BTC-USD][C],PrevH[BTC-USD][O],PrevH[BTC-USD][H],PrevH[BTC-USD][L],PrevH[BTC-USD][C],NextH[BTC-USD][O],NextH[BTC-USD][H],NextH[BTC-USD][L],NextH[BTC-USD][C],CurrH[BTC-USD][O],CurrH[BTC-USD][H],CurrH[BTC-USD][L],CurrH[BTC-USD][C]
2022-09-01,12:30,USD,Initial Jobless Claims,232000.0,248000.0,237000.0,USD-Initial Jobless Claims,2022-08-31,2022-09-02,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,13:45,USD,S&P Global US Manufacturing PMI ,51.5,51.3,51.3,USD-S&P Global US Manufacturing PMI ,2022-08-31,2022-09-02,13:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,14:00,USD,ISM Manufacturing PMI ,52.8,52.0,52.8,USD-ISM Manufacturing PMI ,2022-08-31,2022-09-02,13:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,14:00,USD,ISM Manufacturing Prices ,52.5,55.5,60.0,USD-ISM Manufacturing Prices ,2022-08-31,2022-09-02,13:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-02,12:30,USD,Average Hourly Earnings (MoM) ,0.003,0.004,0.005,USD-Average Hourly Earnings (MoM) ,2022-09-01,2022-09-03,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-02,12:30,USD,Nonfarm Payrolls ,315000.0,300000.0,526000.0,USD-Nonfarm Payrolls ,2022-09-01,2022-09-03,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-02,12:30,USD,Unemployment Rate ,0.037,0.035,0.035,USD-Unemployment Rate ,2022-09-01,2022-09-03,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06,13:45,USD,S&P Global Services PMI ,43.7,44.3,47.3,USD-S&P Global Services PMI ,2022-09-05,2022-09-07,13:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06,14:00,USD,ISM Non-Manufacturing PMI ,56.9,55.1,56.7,USD-ISM Non-Manufacturing PMI ,2022-09-05,2022-09-07,13:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06,14:00,USD,ISM Non-Manufacturing Prices ,71.5,,72.3,USD-ISM Non-Manufacturing Prices ,2022-09-05,2022-09-07,13:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,
