Topic,Date,Time,Source,Title
bitcoin,2024-07-24,07:00,U.S News & World Report Money,The History of Bitcoin | Investing - U.S News & World Report Money
bitcoin,2024-09-13,07:00,Reuters,"MicroStrategy continues bitcoin buying spree, lifting holdings to $9.45 bln - Reuters"
bitcoin,2024-09-18,17:15,The Motley Fool,Best Places to Buy Bitcoin in 2024 - The Motley Fool
bitcoin,2024-09-19,23:23,BBC.com,The Bitcoin bros who want to crowdfund a new country - BBC.com
bitcoin,2024-09-20,09:20,Bitcoin Magazine,Satoshi Era Wallets Moved $16 Million Worth of Bitcoin - Bitcoin Magazine
bitcoin,2024-09-20,10:00,Yahoo Finance,Bitcoin bulls believe the price will go up no matter who wins in November - Yahoo Finance
bitcoin,2024-09-20,13:33,Cointelegraph,Bhutan’s $750M revenue from Bitcoin mining sets model for developing nations - Cointelegraph
bitcoin,2024-09-20,14:52,Bitcoin Magazine,MicroStrategy Buys Additional $489 Billion Worth of Bitcoin - Bitcoin Magazine
bitcoin,2024-09-20,15:25,Decrypt,MicroStrategy Bought Another $458 Million in Bitcoin This Week - Decrypt
bitcoin,2024-09-20,21:42,Bitcoin Magazine,SEC Approves Options Trading on BlackRock’s Spot Bitcoin ETF IBIT - Bitcoin Magazine
bitcoin,2024-09-20,22:06,Bloomberg,SEC Approves Nasdaq to List Options on iShares Bitcoin Trust ETF - Bloomberg
bitcoin,2024-09-20,22:58,Reuters,SEC approves BlackRock's spot bitcoin ETF options listing - Reuters
bitcoin,2024-09-21,11:15,Forbes,The ‘Future Of Humanity’—Elon Musk Reveals Details Of Secret Meeting With El Salvador’s Bitcoin President Amid Price Rally - Forbes
bitcoin,2024-09-21,23:30,Bitcoin.com News,"Robert Kiyosaki Predicts Bitcoin Could Hit $500K by 2025, $1M by 2030 - Bitcoin.com News"
bitcoin,2024-09-22,01:30,Bitcoin.com News,"Government of Bhutan Holds $828M in Bitcoin, Arkham Data Shows - Bitcoin.com News"
bitcoin,2024-09-22,07:04,The Daily Hodl,"‘It Has To Be Now’ – Raoul Pal Unveils Massive Bitcoin Price Target, Says BTC Repeating 2023 Rally ‘Perfectly’ - The Daily Hodl"
bitcoin,2024-09-22,13:08,CryptoGlobe,The World's Largest Asset Manager on 'Why Bitcoin Matters' - CryptoGlobe
bitcoin,2024-09-22,14:26,Cointelegraph,Bitcoin weekly RSI sparks 'intermediate' $85K BTC price target - Cointelegraph
bitcoin,2024-09-22,14:30,Bitcoin.com News,BTC Miners Increase Earnings With Fractal Bitcoin Mining - Bitcoin.com News
