Topic,Date,Time,Source,Title
bitcoin,2024-10-21,16:02:00,Quartz India,The SEC greenlit Bitcoin ETF options trading. Here come the big fish
bitcoin,2024-10-21,14:48:00,Quartz India,"Dogecoin, ApeCoin, Solana, and more: Cryptocurrencies to watch this week"
bitcoin,2024-10-21,11:00:00,Wired,"In the Kentucky Mountains, a Bitcoin Mining Dream Becomes the Stuff of Nightmares"
bitcoin,2024-10-21,10:19:00,Biztoc.com,SEC Greenlights Bitcoin Options ETFs for New York Stock Exchange and CBOE
bitcoin,2024-10-21,05:10:08,Forbes,Surprise Elon Musk Endorsement Suddenly Sends Bitcoin And Crypto Prices Higher
bitcoin,2024-10-20,19:21:00,Forbes,How Will Bitcoin ETF Options Impact Bitcoin’s Price?
bitcoin,2024-10-20,19:00:00,Forbes,Grayscale’s Bitcoin Mini Trust: Here’s What You Need To Know
bitcoin,2024-10-20,18:29:59,Forbes,ECB: Bitcoin Appreciation Could Be “Fuelling The Division Of Society”
bitcoin,2024-10-20,17:45:44,Forbes,Bitcoin Dominance Overshadows Several Important Crypto Trends
bitcoin,2024-10-20,13:00:00,Forbes,How Bitcoin Will Reform Money Management
bitcoin,2024-10-19,16:37:08,Variety,Who Invented Bitcoin? HBO Documentary ‘Money Electric’ Tries to Solve an Enduring Crypto Mystery
bitcoin,2024-10-19,10:30:00,Wired,Google Chrome’s uBlock Origin Purge Has Begun
bitcoin,2024-10-18,16:18:18,Forbes,Did Bitcoin Just Breakout? This Is The One Chart You Need To See
bitcoin,2024-10-18,13:04:14,Business Insider,Taylor Swift is flexing her economic muscles again with the return of her tour and a new book
bitcoin,2024-10-18,12:30:09,Theregister.com,Alleged Bitcoin crook faces 5 years after SEC's X account pwned
bitcoin,2024-10-18,10:55:36,Forbes,‘$500 Billion In Three Weeks’—Tesla Billionaire Elon Musk Issues ‘Crazy’ Fed ‘Bankruptcy’ Warning After Sparking Bitcoin Price Panic
bitcoin,2024-10-18,10:54:50,Emailbtc.net,EmailBTC – A new way to send and receive Bitcoin using only email addresses
bitcoin,2024-10-18,10:08:10,BBC News,Alleged Bitcoin hacker Googled 'signs the FBI is after you'
bitcoin,2024-10-18,10:00:00,The New Yorker,How Republican Billionaires Learned to Love Trump Again
bitcoin,2024-10-17,22:10:00,Slashdot.org,Hacker Arrested For the Fake SEC Tweet That Caused a Bitcoin Price Spike
bitcoin,2024-10-17,21:10:49,Gizmodo.com,FBI Arrests Man Who Searched ‘How Can I Know for Sure If I Am Being Investigated by the FBI’
bitcoin,2024-10-17,19:35:08,[Removed],[Removed]
bitcoin,2024-10-17,18:36:03,Biztoc.com,Hacker arrested for the fake SEC tweet that caused a Bitcoin price spike
bitcoin,2024-10-17,17:42:00,Quartz India,The FBI arrested the man it says hacked the SEC's Twitter and sent bitcoin soaring
bitcoin,2024-10-17,12:35:08,Gizmodo.com,Guy Who Threw Away $500 Million Bitcoin Hard Drive Sues Local Government to Search Dump
bitcoin,2024-10-17,12:00:20,Forbes,Will Bitcoin Reach $100K?
bitcoin,2024-10-16,16:00:00,Forbes,3 Ways Bitcoin Is Like Digital Real Estate
bitcoin,2024-10-16,14:16:54,Quartz India,"Bitcoin surges as investor interest in ETFs grows, eyeing $70k milestone"
bitcoin,2024-10-16,11:33:31,Business Insider,An incoming 'M&A supercycle' wouldn't just be a win for dealmakers
bitcoin,2024-10-16,09:44:31,Business Insider,"Trump flip-flopped on crypto, but his PAC has raked in millions of dollars of crypto donations since June"
bitcoin,2024-10-14,14:30:00,Forbes,Satoshi Nakamoto As World’s Richest Exposes Bitcoin’s Principal Fault
bitcoin,2024-10-14,09:00:00,Quartz India,5 crypto criminals serving the longest prison sentences
bitcoin,2024-10-14,01:23:00,Biztoc.com,"Amid plans to start a ‘Bitcoin bank,’ MSTR stock soars to ATH"
bitcoin,2024-10-13,16:27:12,Tech Xplore,Integer addition algorithm could reduce energy needs of AI by 95%
bitcoin,2024-10-11,19:12:22,Forbes,Michael Saylor Reveals Shock $100 Trillion MicroStrategy ‘Endgame’ As The Bitcoin Price Suddenly Soars
bitcoin,2024-10-11,16:37:47,Biztoc.com,iShares Bitcoin Trust (NASDAQ:IBIT) Shares Gap Up - What's Next?
bitcoin,2024-10-10,23:39:03,Business Insider,Former FTX exec starts prison sentence with LinkedIn post about a 'new position'
bitcoin,2024-10-10,21:17:14,Socialmediaexplorer.com,How Bitcoin Is Empowering Social Media Creators and Changing the Game in 2024
bitcoin,2024-10-10,20:06:52,Business Insider,Stock market today: Indexes close lower after CPI shows sticky inflation in September
bitcoin,2024-10-10,14:31:34,Biztoc.com,Bitcoin Protocol sees TVL growth as staking restrictions lift
bitcoin,2024-10-10,10:15:29,Forbes,"‘Something’s Got To Give’—Traders Brace For Fed Bombshell As The S&P 500, Dow And Nasdaq Stock Markets Return To Record Highs And ‘Fear’ Grips The Bitcoin Price"
bitcoin,2024-10-09,20:13:30,Business Insider,Stock market today: US stocks close at all-time highs ahead of key inflation update
bitcoin,2024-10-09,19:16:09,Biztoc.com,Controversial HBO Documentary Concludes Peter Todd Invented Bitcoin
bitcoin,2024-10-09,17:12:43,Biztoc.com,Bitcoin creator suspect says he is not Bitcoin creator suspect
bitcoin,2024-10-09,17:00:08,Theregister.com,Bitcoin creator suspect says he is not Bitcoin creator suspect
bitcoin,2024-10-09,14:18:00,Quartz India,HBO documentary claims Bitcoin developer Peter Todd is Satoshi Nakamoto – now comes the denial
bitcoin,2024-10-09,14:05:37,Gizmodo.com,Controversial HBO Documentary Concludes Peter Todd Invented Bitcoin
bitcoin,2024-10-09,12:53:34,Forbes,The Worst Return From Holding Bitcoin
bitcoin,2024-10-09,09:45:42,BBC News,"I am not Bitcoin inventor, says man named in HBO film"
bitcoin,2024-10-09,02:20:01,Biztoc.com,‘I am not Satoshi Nakamoto’: Subject of HBO documentary denies he invented bitcoin
bitcoin,2024-10-09,02:08:51,Biztoc.com,A New Bitcoin Documentary Reopens the Search for Satoshi Nakamoto
bitcoin,2024-10-09,01:01:00,Time,Documentarian Says He’s Solved the Mystery of Bitcoin’s Creator. Insiders Are Extremely Skeptical.
bitcoin,2024-10-09,01:00:00,Wired,Unmasking Bitcoin Creator Satoshi Nakamoto—Again
bitcoin,2024-10-08,22:00:13,Forbes,"Who Is Peter Todd, The Man Named By HBO As Bitcoin’s Mystery Creator Satoshi Nakamoto?"
bitcoin,2024-10-08,20:12:25,Business Insider,Stock market today: Tech rally leads stocks higher as oil prices plunge and earnings kick off
bitcoin,2024-10-08,14:14:00,Quartz India,Satoshi Nakamoto unmasked: Will HBO reveal the identity of the creator of bitcoin?
bitcoin,2024-10-08,11:45:00,Forbes,Bitcoin Is Here To Stay As Institutional Support Grows
bitcoin,2024-10-08,00:27:08,Theregister.com,Feds reach for sliver of crypto-cash nicked by North Korea's notorious Lazarus Group
bitcoin,2024-10-07,17:46:16,Bitcoindevs.xyz,"Decoding Bitcoin: An interactive, exercise-heavy approach to learning Bitcoin"
bitcoin,2024-10-07,16:40:00,Quartz India,Who really created Bitcoin? A new HBO documentary claims it has the answer
bitcoin,2024-10-07,12:00:29,Forbes,Making Crypto Bitcoin Less Cryptic
bitcoin,2024-10-07,11:48:45,Biztoc.com,"Japan’s Metaplanet makes $7M Bitcoin buy, bringing holdings to $40.5M"
bitcoin,2024-10-07,09:00:00,Quartz India,Bitcoin and Ether ETFs helped take crypto mainstream. Are Solana and XRP next?
bitcoin,2024-10-05,13:00:34,Gizmodo.com,Truth Social Users Are Losing Ridiculous Sums of Money to Scams
bitcoin,2024-10-05,13:00:00,Quartz India,"Super Micro Computer's big stock split, Costco rises, and Bitcoin falls: Markets news roundup"
bitcoin,2024-10-05,12:15:55,Forbes,‘Doge In The Treasury’—Mark Cuban Teases Wild Donald Trump And Elon Musk Plan To Pay Off $35 Trillion Of U.S. Debt With Bitcoin And Crypto Amid Price Boom
bitcoin,2024-10-05,12:13:02,Blockhead.co,New HBO Documentary Claims Bitcoin Creator Satoshi Nakamoto Is Len Sassaman
bitcoin,2024-10-04,15:00:00,Deadline,HBO’s ‘Money Electric: The Bitcoin Mystery’ Sets Out To Unmask Secretive Creator Of World’s Most Valuable Crypto Currency
bitcoin,2024-10-04,13:35:42,Gizmodo.com,New HBO Doc Promises to Unmask the Mysterious Inventor of Bitcoin
bitcoin,2024-10-04,13:28:09,First Showing,Official Trailer for 'Money Electric: The Bitcoin Mystery' Documentary
bitcoin,2024-10-04,00:02:00,Slashdot.org,"Mystery Creator of Bitcoin Identified, New HBO Documentary Claims"
bitcoin,2024-10-03,11:28:28,Biztoc.com,"Iran’s Missile Strike On Israel Shakes Crypto Market, Prices Plummet"
bitcoin,2024-10-02,11:00:00,Forbes,Bipartisan Support Builds For Strategic Bitcoin Reserve
bitcoin,2024-10-02,10:00:00,MarketWatch,"Bitcoin could hit a $74,000 record high this month if its October winning streak continues"
