Topic,Date,Time,Source,Title
crypto,2024-10-21,12:45:52,Gizmodo.com,Sam Altman’s Creepy Worldcoin Project Is Now Just Called ‘World’
crypto,2024-10-21,11:00:00,Wired,"In the Kentucky Mountains, a Bitcoin Mining Dream Becomes the Stuff of Nightmares"
crypto,2024-10-19,14:00:30,Fox News,Rising crypto scams leave Americans reeling from billions in losses
crypto,2024-10-19,10:30:35,Ritholtz.com,10 Weekend Reads
crypto,2024-10-19,09:00:01,Business Insider,Venture capital is going to war over the election. Here's the data to prove it.
crypto,2024-10-18,20:37:51,Stereogum,The Black Keys Announce “America Loves Crypto” Concert
crypto,2024-10-18,19:51:00,Quartz India,Memecoins beat these Nasdaq tech firms at their own game — here's how
crypto,2024-10-18,18:18:00,MarketWatch,How a fraudster set up a fake Coinbase website and stole $20 million from its customers
crypto,2024-10-18,16:20:02,Gizmodo.com,$30 Million Is All It Took to Shift the Odds in Trump’s Favor on Polymarket
crypto,2024-10-18,16:17:59,Subvert.fm,Subvert – The Collectively Owned Music Marketplace
crypto,2024-10-18,10:54:50,Emailbtc.net,EmailBTC – A new way to send and receive Bitcoin using only email addresses
crypto,2024-10-17,20:31:57,Business Insider,The head of Cubist's centralized high-speed trading unit is out after less than a year
crypto,2024-10-17,18:17:00,Quartz India,"Trump Media might just be a meme stock, strategist says"
crypto,2024-10-17,12:35:08,Gizmodo.com,Guy Who Threw Away $500 Million Bitcoin Hard Drive Sues Local Government to Search Dump
crypto,2024-10-16,21:40:00,Quartz India,"Crypto usage has gone to the moon, says new report"
crypto,2024-10-16,20:45:03,Gizmodo.com,Praxis: Another Tech-Billionaire Backed Urban Project Gets $525 Million in Funding
crypto,2024-10-16,16:30:00,Quartz India,Trump's crypto project crashed on its first day
crypto,2024-10-16,15:24:17,The Intercept,Elizabeth Warren’s Crypto Haters Are Burning Cash in Her Senate Race
crypto,2024-10-16,13:53:23,Wired,Trumpcoin Launches With a Whimper
crypto,2024-10-16,09:44:31,Business Insider,"Trump flip-flopped on crypto, but his PAC has raked in millions of dollars of crypto donations since June"
crypto,2024-10-16,05:25:08,Theregister.com,IBM acquires Indian SaaS startup Prescinto to shine a light on renewable energy assets
crypto,2024-10-16,02:40:02,Business Insider,Marc Andreessen and Ben Horowitz each donated $2.5 million to a pro-Donald Trump super PAC
crypto,2024-10-16,00:10:00,Slashdot.org,Trump's Coin Sale Misses Early Targets As Crypto Project's Website Crashes
crypto,2024-10-15,22:17:14,The Verge,Trump’s crypto website crashed after its token went on sale
crypto,2024-10-14,18:55:19,Business Insider,Diddy hit with a fresh set of sex assault allegations as a new wave of lawsuits kicks off
crypto,2024-10-14,09:00:00,NPR,"In outreach to Black men, Harris to vow to legalize weed, protect crypto"
crypto,2024-10-14,09:00:00,Quartz India,5 crypto criminals serving the longest prison sentences
crypto,2024-10-14,06:30:09,Theregister.com,Crypto-apocalypse soon? Chinese researchers find a potential quantum attack on classical encryption
crypto,2024-10-13,17:55:00,Techmeme.com,"Analysis: US regulators have secured $19B+ in eight settlements from crypto firms so far in 2024, including FTX's $12.7B, and ~$32B since January 1, 2019 (Lim Yu Qian/CoinGecko)"
crypto,2024-10-13,13:16:17,The Intercept,Crypto Billionaires Could Flip the Senate to the GOP. Here’s What They Want.
