PubDate,PubTime,Currency,Variable,Actual,Forecast,Previous,CurrVariable,PrevDate,PrevIndex,NextDate,NextIndex,CurrIndex,PrevH,PrevHIndex,CurrHIndex,NextH,NextHIndex
2022-09-14,16:00,USD,PPI (MoM) ,-0.001,-0.001,-0.004,USD-PPI (MoM),2022/09/13,0.9982,2022/09/15,0.99883,0.9984,15:00,1.000100016593933,0.9996002316474916,17:00,1.0
2022-09-14,18:00,USD,Crude Oil Inventories,2442000.0,833000.0,8844000.0,USD-Crude Oil Inventories,2022/09/13,0.9982,2022/09/15,0.99883,0.9984,17:00,1.0,0.999300479888916,19:00,0.9982032775878906
2022-09-15,16:00,USD,Core Retail Sales (MoM) ,-0.003,0.001,0.004,USD-Core Retail Sales (MoM),2022/09/14,0.9984,2022/09/18,1.00223,0.99883,15:00,1.000100016593933,0.999300479888916,17:00,1.0009007453918457
2022-09-15,16:00,USD,Initial Jobless Claims,213000.0,226000.0,218000.0,USD-Initial Jobless Claims,2022/09/14,0.9984,2022/09/18,1.00223,0.99883,15:00,1.000100016593933,0.999300479888916,17:00,1.0009007453918457
2022-09-15,16:00,USD,Philadelphia Fed Manufacturing Index ,-9.9,2.8,6.2,USD-Philadelphia Fed Manufacturing Index,2022/09/14,0.9984,2022/09/18,1.00223,0.99883,15:00,1.000100016593933,0.999300479888916,17:00,1.0009007453918457
2022-09-15,16:00,USD,Retail Sales (MoM) ,0.003,0.002,-0.004,USD-Retail Sales (MoM),2022/09/14,0.9984,2022/09/18,1.00223,0.99883,15:00,1.000100016593933,0.999300479888916,17:00,1.0009007453918457
2022-09-16,12:30,EUR,CPI (YoY) ,0.091,0.091,0.091,EUR-CPI (YoY),2022/09/15,0.99883,2022/09/18,1.00223,,12:00,0.9975062012672424,,13:00,0.9957184195518494
2022-09-21,17:30,USD,Existing Home Sales ,4800000.0,4700000.0,4820000.0,USD-Existing Home Sales,2022/09/20,0.99708,2022/09/22,0.98416,0.98307,17:00,0.9871668219566344,,18:00,0.9878494143486024
2022-09-21,18:00,USD,Crude Oil Inventories,1142000.0,2161000.0,2442000.0,USD-Crude Oil Inventories,2022/09/20,0.99708,2022/09/22,0.98416,0.98307,17:00,0.9871668219566344,0.9878494143486024,19:00,0.9910803437232972
2022-09-21,21:30,USD,FOMC Economic Projections,,,,USD-FOMC Economic Projections,2022/09/20,0.99708,2022/09/22,0.98416,0.98307,21:00,0.9839614629745485,,22:00,0.9842519164085388
2022-09-21,21:30,USD,FOMC Statement,,,,USD-FOMC Statement,2022/09/20,0.99708,2022/09/22,0.98416,0.98307,21:00,0.9839614629745485,,22:00,0.9842519164085388
2022-09-21,21:30,USD,Fed Interest Rate Decision,0.0325,0.0325,0.025,USD-Fed Interest Rate Decision,2022/09/20,0.99708,2022/09/22,0.98416,0.98307,21:00,0.9839614629745485,,22:00,0.9842519164085388
2022-09-21,22:00,USD,FOMC Press Conference,,,,USD-FOMC Press Conference,2022/09/20,0.99708,2022/09/22,0.98416,0.98307,21:00,0.9839614629745485,0.9842519164085388,23:00,0.9842519164085388
2022-09-22,16:00,USD,Initial Jobless Claims,213000.0,218000.0,208000.0,USD-Initial Jobless Claims,2022/09/21,0.98307,2022/09/25,0.96899,0.98416,15:00,0.9816432595252992,0.9840583205223083,17:00,0.9841550588607788
